Lat,Lng,Service,City,LocationName,Address,Icon,ViewUrl,Type
24.730936,46.673138,Branches and Sales Centers,Riyadh,Alworod,king Abdullah road- Alworood,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
25.238,45.247984,Branches and Sales Centers,SHAGRA,Shagra,King Abdullah road interception with king saud,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.765826,46.753269,Branches and Sales Centers,Riyadh,Alhamra branch,King Abdullah road-Al Hamra,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
24.765826,46.753269,Branches and Sales Centers,Riyadh,Alhamra,King Abdullah Road-Alhamra,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.73094,46.67314,Branches and Sales Centers,Riyadh,Alworood,king Abdullah road-Alworood,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
24.033034,38.193219,Branches and Sales Centers,Yanbu,Yanbu,king Fahad bin Abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Sales Centers
28.388841,36.59314,Branches and Sales Centers,TABOUK,Tabok,King Fahad branch road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
26.305668,44.826924,Branches and Sales Centers,ALZULFI,Alzulfi,king Fahad road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
26.305668,44.826924,Branches and Sales Centers,ALZULFI,Alzulfi,King Fahad Road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
24.705222,46.675983,Branches and Sales Centers,Riyadh,King Fahd Road,King Fahad road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
18.305759,42.698009,Branches and Sales Centers,KHAMIS MUSHAYT,Alqafla,king Fahad road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
21.628663,39.162422,Branches and Sales Centers,JEDDAH,Alnuzha Self Service Center,King Fahad road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Sales Centers
24.166476,47.338949,Branches and Sales Centers,ALKHARJ,Alkharj,King Fahad Road interception with Prince Sultan road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
18.292515,42.730137,Branches and Sales Centers,KHAMIS MUSHAYT,Alkhaldeya,king Faisal road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
31.335363,37.336491,Branches and Sales Centers,QARYAH,"Alkhaldeyah, Alqurayat",king Faisal road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
21.449861,39.863744,Branches and Sales Centers,Makkah,Jabal Al-Noor,King Faisal Road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
17.15206,42.651221,Branches and Sales Centers,JAZAN,Sabia,king Faisal road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
28.445787,48.495683,Branches and Sales Centers,ALKHAFJI,Alkhafji,King faisal street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
19.127241,42.130239,Branches and Sales Centers,ALNAMAS,Alnamas,king Faisal street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
26.319626,50.215787,Branches and Sales Centers,ALKHOBAR,King faisal street,King faisal street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Sales Centers
24.011678,38.207272,Branches and Sales Centers,Yanbu,Yanbu Alsinaiah,King Khaled Road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.962144,46.697989,Branches and Sales Centers,Riyadh,King Khalid Airport,King Khalid Airport,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
18.085157,43.13505,Branches and Sales Centers,Srat Abida,Saratabida,King Khalid road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
18.083226,42.707371,Branches and Sales Centers,ABHA,King Khaled University,King Khalid University - Abha,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
