ATMS/id,ATMS/name,ATMS/district,ATMS/latitude,ATMS/longitude,ATMS/zoom
TOxnjybpbC7fIy3pA45Z,Royal Hospital,,31.98879748,35.91698317,20
TVW9czJsEeejYvu3zvMx,PETROTRADE,,30.067186,31.335384,20
TVvdW3YRXdQQOYQz3KDZ,Sahab,,31.85242,36.00743,20
TZ56PMPxQH4Qhvjrsn43,Hai Al Hussein,,32.0674665,36.087904,20
TZeELvMPT41XFOj1BoWP,MALL OF ARABIA   ,,30.005774,30.975151,20
TdyGn99TPJXJR1Ci528f,Jericho ,,31.857621,35.460241,20
TgZvhBIx1DJiWkaWQGJk,Al-manarah branch 2,,31.905095,35.204723,20
TwTXU6Csc5zI6kjOs8Kw,Al-Khawajah Gas Station ,,31.871189,35.221771,20
U1mIJDHZKenUk0VZdmSl,South Abdoun 2,,31.940584,35.884985,20
U8qvfSQlPSj3Uyvs6ITx,Isra' university,,31.789383,35.927095,20
U9Z2yfUdNxqQGzp5Ts5E,Hashemite University,,32.087974,36.18786,20
UI7zK8Advui7gpsN2R3E,Applied Scientific University,,32.040899,35.902706,20
UJqMWJeGO0XyOegLKyhw,Beit Jala Branch,,31.7118,35.1967,20
UMdamMYDALnXyo3WGjmP,Al-Samou,,31.3996975,35.066947,20
UMqxY9fxlUyS0HOIbIvU,Shmeisani,,31.965306,35.898637,20
UN1keUgm84i4RbsjmwWj,SHEIKH ZAYED BRANCH,,30.030149,31.001013,20
UNGInNW2WNBClT8nhNML,Mobil Maadi,,30.073471,31.346222,20
UPU2AWFQNV6kJfxPQMbm,Haouz ATM,,31.507343,35.078251,20
Ufr5FxlcWkJnHuAGKLnR,Mecca Street,,31.975807,35.848749,20
UmZrFquxNkWQjoV46LgD,Kharibet Al-Souk,,31.870904,35.929979,20
UsIvtjkttvEm9bNfk0aa,Obeidiya,,31.7093485,35.269407,20
UvSUJbGfOR996iJUL2yx,Seashell Hospital,,29.99221213,31.50889976,20
Ve97gAD6pBrfYFeGa66S,Yasmeen 2,,31.91474,35.887865,20
WCDB4Rfhi6KjLQDzMQBu,Plaza Mall ATM,,31.924211,35.212533,20
WEhqOSiOHGyegJgilHYl,IAA School,,31.981,35.825,20
WUHyHsHKJQPlUJDsxIsh,Al najah hospital,,32.2385962,35.2463149,20
WnFyfl7kdWuQhp4VnwEY,Fawry Miami,,29.956518,31.261116,20
WuwdPvfMP4vJChp5Q2hZ,Al-Baraa Gas Station,,32.404531,35.209036,20
WwJV64DZNem7y26dgof8,Tulkarem ,,32.316877,35.0326,20
WxRUm1B1VkQ06NG3woEq,DOWN TOWN MALL -KATAMEYA,,30.01832,31.412918,20
X3HLrMawVpNvPBaPot5f,Jericho circle ,,31.856148,35.459999,20
XBHLjzcYWx1MnChcEQTd,Mazaya Mall ATM,,31.936624,35.193496,20
XDb64uffPZCsgZsUP655,Plaza Outlet Center,,31.9762302,35.8443788,20
XHsFaw46jZHBrUXgpwuO,Karak,,31.174815,35.703343,20
XJqsrnHQOYLi96uy7Ri0,Fuheis,,32.002315,35.77598,20
XSPKty3yINS4GoDYMH89,Jerash offsite ATM,,32.29216742,35.89343902,20
XWzHwbGzgARGsZsvOL0q,Nablus Governorate,,32.215,35.274,20
XbQJ28eQxDGeJnxzNiO1,Orthodox Club,,31.948,35.896,20
XhaoHzTCRIfY2GwqnMmW,Baqa'a,,32.076817,35.84529,20
XrlylU5wv40nYgg7luqC,Tarqomia ,,31.577235,35.020604,20
Xrzna7QwtqdW5LApkcNx,opel co.,,31.223066,29.970371,20
Y2FcnQ5iwZ5pNVeOwmqv,Mohandesin ATM 2,,30.052307,31.199091,20
YCvvU4BQ0zKfsgfFm6VM,Kattameya clinic,,30.0596731,31.4456161,20
YHcZzUWhBHCNWd6RBBuW,Nablus Branch 3 ATM,,32.221524,35.260717,20
YJKsyFfEBsPBpftkpU6S,Intercontinental Hotel\\\\ Amman,,31.953378,35.913663,20
YUZtmn7Xfjq3UqBm3Ii5,FATHALLAH MARKET,,31.28031,30.0149,20
YUv5k4KaePmjyM5wGfBT,Carrefour Mugableen,,31.908415,35.930218,20
YWv5uE7I09Tkmn2XI3RR,Beni Zaid,,32.03882,35.103557,20
YZ9zmLp6gZnEswIsitls,New Zarqa 2,,32.085709,36.091793,20
YeTlAnQWGr7GPfWdTfL8,Um Uthaina Self Service 2,,31.966776,35.872601,20
Yu1B1gm6SueZ0Jm7EkP3,al Irsal ITM,,31.917205,35.20714,20
Z8q5YxWXL6J3DNIRvDjE,SMART VILLAGE  BRANCH ,,30.078558,31.017788,20
ZAHsH7tBXZnWFEHkE9fr,City Stars 1,,30.073471,31.346222,20
ZXBc0gTB4eWwAugmVuyN,Sweiss Gas Station,,31.88100142,35.22929192,20
ZbpOMXQi2pQzuKPxIpMc,Abo Alanda- Abu Hassn Complex/Drive Thru ATM,,31.90525,35.964799,20
Zqn2gfWy1OM28ixIDerF,Royal Hotel,,31.95379015,35.9089777,20
