priority,objectId,cityName,latitude,longitude,address/en,address/ar,storeStatus/value,storeStatus/label/en,storeStatus/label/ar,openingHours/en,openingHours/ar,distance/value,distance/unit/en,distance/unit/ar
215,4753,RIYADH,24.666267,46.725033,Mahad Al Edarah st. AL Thobat District,شارع معهد الادارة,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
216,4754,BISHA,19.997883,42.602066,King Khaled St. in front of Al-malhan Mall & beside the old Bisha traffic station,بيشه طريق الملك خالد مقابل اسواق الملحان ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
217,4755,AHAD AL MASARIHAH,16.7095,42.953835,City Center,احد المسارحه وسط البلد سوق الجوالات,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
218,4756,AL NAMAS,19.106968,42.12895,Main st beside ministry of agriculture,الطريق العام ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
219,4757,AL BAHAH,20.018967,41.454117,"King Abdul Aziz St. beside Al-Khaleej Hotel Apartments, next to Amal Al-Khair Factory for Dates",الباحة طريق الملك عبدالعزيز,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
220,4758,JEDDAH,21.575983,39.14675,"Sari road, ",شارع صاري مقابل مكتبه جرير ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
221,4759,JEDDAH,21.584682,39.1598,"Al-Salamah district, Saqar Qurash St. beside Al-Baik",حي السلامة - شارع صقر قريش,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
222,4760,TAIF,21.427763,40.487175,Beside police station and Saudi postal office,الحوية بجانب الشرطة ومكتب البريد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
223,4761,MAKKAH AL-MUKARRAMAH,21.418259,39.772575,Al Hamra District â Amnah Bent Waheb St,"حي الحمراء , شارع آمنه بنت وهب",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
224,4762,JEDDAH,21.578444,39.234554," Al Tawfeeq ,Al Samer District Eastern Ring Road. beside Al Salam sweet shop","التوفيق, حي السامر, الدائري الشرقي , بجانب حلويات السلام",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
225,4763,MAKKAH AL-MUKARRAMAH,21.387613,39.796535,Al Shawqeya â Abdullah Bin Abbas St,"الشوقية, شارع عبدالله بن عباس",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
226,4764,MAKKAH AL-MUKARRAMAH,21.401058,39.708042,"Alzaydi district, Prince Naif St.","حي الزيدي , شارع الأمير نايف",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
227,4765,AL-KHARJ,24.136635,47.276802,"AL Khuzama district, King Abdullah Road, Jarir Bookstore","حي الخزامى, جرير",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
228,4766,RIYADH,24.824703,46.77106,"Al Monisyiah district, AL Sahaba st near to Themar supermarket","حي المونسية , شارع الصحابة ",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
229,4767,KHAMIS MUSHAIT,18.298782,42.7393,"Umm sarar district, King Saud street, Near to Al Sarh AL Shamel clinic","حي ام سرار, شارع الملك سعود",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
230,4768,ABHA,18.22345,42.5565,"Al Mansak district, Talat Bin Basher st. near to East Abha police ","حي المنسك , طلال بن بشير",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
