data/name,data/address1,data/address2,data/address3,data/country,data/lat,data/lng,data/phoneNumber,data/faxNumber,data/information,data/type,data/externalLocationId,data/locationId
Dibba Service Centre,"Etisalat Building, Dibba Al Fujairah Main Road, Sh. Zayed Street, Next to Dibba Police Station",Fujairah,,,25.59201353,56.27479434,,,Working Hours:<br/>Monday to Thursday: 08am - 08pm<br/>Friday: 08am - 08pm<br/>Saturday: 08am - 08pm<br/>Sunday: Closed <br>Consumer & business services,BusinessCenter,20220166,20220166
Al Hamra Mall,"Inside Al Hamra  Mall, E11 Sheikh Mohammad Bin Zayed Road, Al Jazirah Al Hamra,",Ras Al Khaimah,,,25.682938,55.781871,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220167,20220167
Al Safeer Ras al Khaimah,Safeer Mall - Al Dhait North,Ras al Khaimah,,,25.7490055084631,55.9241655543397,,,Working Hours: <br>Monday to Thursday: 10am - 10pm <br>Friday: 10am - 11pm <br>Saturday: 10am - 11pm <br>Sunday: 10am - 11pm <br>Consumer services only,BusinessCenter,20220168,20220168
Fujairah Business Centre,"Etisalat Building, Sheikh Hamad Abdullah Street,",Fujairah,,,25.121446,56.328836,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: Closed <br>Consumer & business services,BusinessCenter,20220169,20220169
Ras Al Khaimah Business Centre,"Etisalat Building, Bin Dhaher Street",Ras Al Khaimah,,,25.790579,55.967004,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: Closed <br>Consumer & business services,BusinessCenter,20220170,20220170
Fujairah City Centre,"Inside Al Fujairah City Centre, Fujairah, Near Fujairah Police Head Quarters",Fujairah,,,25.126491,56.302006,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220171,20220171
Al Manar Mall,"Inside Manar Mall, Al Muntasir Road, Al Nakheel",Ras Al Khaimah,,,25.785125,55.965622,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220172,20220172
Nadiya Mall Ras Al-Khaimah,"Sheikh Muhammad Bin Salim Road, Nadiya Showroom",Ras Al-Khaimah,,,25.75922,55.91408,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 10pm (Break prayer - 12pm to 2pm)<br/>Saturday: 02pm - 10pm<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220173,20220173
Khorfakkan,Inside Sharjah Co-operative Society,Sharjah,,,25.3357185,56.3478738,,,Working Hours:<br/>Monday to Thursday: 08am - 08pm<br/>Friday: 08am - 08pm<br/>Saturday: 08am - 08pm<br/>Sunday: Closed <br>Consumer & business services,BusinessCenter,20220174,20220174
Century Mall OL,"Inside Century Mall, Al Qasar RdØŒ Near Umbrella Beach",Fujairah,,,25.157386,56.34995,,,Working Hours:<br>Monday to Wednesday: 10am - 10pm<br>Thursday: 10am - 11pm <br>Friday: 03pm - 11pm <br>Saturday: 10am - 11pm <br>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220175,20220175
Al Ain Business Centre,Flagship Store,Al Ain,"Opposite to Remal Mall, Next to Alain Sports & Cultural Club, Al Ain",,24.206418,55.761471,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: Closed <br>Consumer & business services,BusinessCenter,20220176,20220176
Al Ain Mall,"Inside Al Ain Mall, Othman Bin Affan Street, Al Ain",Al Ain,,,24.222501,55.781868,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220177,20220177
Al Jimi Mall,"Inside Al Jimi Mall, Hamdan Bin Mohammad Street,",Al Ain,,,24.244134,55.725697,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 11pm<br/>Saturday: 10am - 11pm<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220178,20220178
Barari Outlet Mall,"Inside Barari Mall Outlet, Al Ain, Near Civil Defense",Al Ain,,,24.086094,55.830052,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 11pm<br/>Saturday: 10am - 11pm<br/>Sunday: 10am - 11pm <br>Consumer services only,BusinessCenter,20220179,20220179
